60 3 3
0.02 0.02 0.02
0.08 0.02 0.04
0.02 0.02 0.04
0.02 0.06 0.08
0.02 0.02 0.06
0.04 0.02 0.02
0.02 0.02 0.08
0.06 0.02 0.02
0.02 0.04 0.02
0.04 0.06 0.04
0.02 0.04 0.04
0.04 0.02 0.02
0.02 0.04 0.06
0.02 0.06 0.06
0.02 0.04 0.08
0.1 0.06 0.08
0.02 0.06 0.02
0.06 0.02 0.02
0.02 0.06 0.04
0.06 0.06 0.02
0.02 0.06 0.06
0.06 0.04 0.02
0.02 0.06 0.08
0.1 0.04 0.02
0.04 0.02 0.02
0.1 0.06 0.02
0.04 0.02 0.04
0.02 0.02 0.04
0.04 0.02 0.06
0.02 0.04 0.02
0.04 0.02 0.08
0.08 0.06 0.06
0.04 0.04 0.02
0.1 0.02 0.04
0.04 0.04 0.04
0.06 0.06 0.04
0.04 0.04 0.06
0.06 0.04 0.06
0.04 0.04 0.08
0.08 0.02 0.04
0.04 0.06 0.02
0.08 0.04 0.08
0.04 0.06 0.04
0.1 0.04 0.04
0.04 0.06 0.06
0.1 0.04 0.02
0.04 0.06 0.08
0.02 0.04 0.02
0.06 0.02 0.02
0.06 0.04 0.08
0.06 0.02 0.04
0.08 0.02 0.06
0.06 0.02 0.06
0.04 0.02 0.06
0.06 0.02 0.08
0.08 0.04 0.06
0.06 0.04 0.02
0.02 0.02 0.02
0.06 0.04 0.04
0.08 0.04 0.02
0.06 0.04 0.06
0.1 0.02 0.06
0.06 0.04 0.08
0.08 0.02 0.04
0.06 0.06 0.02
0.02 0.02 0.06
0.06 0.06 0.04
0.02 0.02 0.02
0.06 0.06 0.06
0.06 0.04 0.06
0.06 0.06 0.08
0.02 0.04 0.08
0.08 0.02 0.02
0.08 0.04 0.08
0.08 0.02 0.04
0.06 0.02 0.04
0.08 0.02 0.06
0.02 0.04 0.04
0.08 0.02 0.08
0.02 0.02 0.02
0.08 0.04 0.02
0.04 0.02 0.04
0.08 0.04 0.04
0.1 0.06 0.04
0.08 0.04 0.06
0.02 0.02 0.04
0.08 0.04 0.08
0.08 0.02 0.04
0.08 0.06 0.02
0.1 0.04 0.02
0.08 0.06 0.04
0.06 0.06 0.04
0.08 0.06 0.06
0.04 0.04 0.02
0.08 0.06 0.08
0.02 0.02 0.04
0.1 0.02 0.02
0.06 0.02 0.08
0.1 0.02 0.04
0.1 0.02 0.08
0.1 0.02 0.06
0.1 0.04 0.08
0.1 0.02 0.08
0.02 0.02 0.08
0.1 0.04 0.02
0.06 0.04 0.08
0.1 0.04 0.04
0.1 0.02 0.02
0.1 0.04 0.06
0.06 0.02 0.06
0.1 0.04 0.08
0.08 0.04 0.04
0.1 0.06 0.02
0.02 0.06 0.02
0.1 0.06 0.04
0.02 0.06 0.02
0.1 0.06 0.06
0.06 0.04 0.02
0.1 0.06 0.08
0.04 0.02 0.04
